C:\Users\MOHD\Desktop\Data\IMG\center_2021_06_22_21_11_19_154.jpg, C:\Users\MOHD\Desktop\Data\IMG\left_2021_06_22_21_11_19_154.jpg, C:\Users\MOHD\Desktop\Data\IMG\right_2021_06_22_21_11_19_154.jpg, 0, 0, 0, 7.867227E-05
C:\Users\MOHD\Desktop\Data\IMG\center_2021_06_22_21_11_19_281.jpg, C:\Users\MOHD\Desktop\Data\IMG\left_2021_06_22_21_11_19_281.jpg, C:\Users\MOHD\Desktop\Data\IMG\right_2021_06_22_21_11_19_281.jpg, 0, 0, 0, 7.785999E-05
C:\Users\MOHD\Desktop\Data\IMG\center_2021_06_22_21_11_19_381.jpg, C:\Users\MOHD\Desktop\Data\IMG\left_2021_06_22_21_11_19_381.jpg, C:\Users\MOHD\Desktop\Data\IMG\right_2021_06_22_21_11_19_381.jpg, 0, 0, 0, 7.819074E-05
C:\Users\MOHD\Desktop\Data\IMG\center_2021_06_22_21_11_19_483.jpg, C:\Users\MOHD\Desktop\Data\IMG\left_2021_06_22_21_11_19_483.jpg, C:\Users\MOHD\Desktop\Data\IMG\right_2021_06_22_21_11_19_483.jpg, 0, 0, 0, 7.822905E-05
C:\Users\MOHD\Desktop\Data\IMG\center_2021_06_22_21_11_19_586.jpg, C:\Users\MOHD\Desktop\Data\IMG\left_2021_06_22_21_11_19_586.jpg, C:\Users\MOHD\Desktop\Data\IMG\right_2021_06_22_21_11_19_586.jpg, 0, 0, 0, 7.952811E-05
C:\Users\MOHD\Desktop\Data\IMG\center_2021_06_22_21_11_19_691.jpg, C:\Users\MOHD\Desktop\Data\IMG\left_2021_06_22_21_11_19_691.jpg, C:\Users\MOHD\Desktop\Data\IMG\right_2021_06_22_21_11_19_691.jpg, 0, 0, 0, 7.797272E-05
C:\Users\MOHD\Desktop\Data\IMG\center_2021_06_22_21_11_19_791.jpg, C:\Users\MOHD\Desktop\Data\IMG\left_2021_06_22_21_11_19_791.jpg, C:\Users\MOHD\Desktop\Data\IMG\right_2021_06_22_21_11_19_791.jpg, 0, 0, 0, 7.793913E-05
C:\Users\MOHD\Desktop\Data\IMG\center_2021_06_22_21_11_19_895.jpg, C:\Users\MOHD\Desktop\Data\IMG\left_2021_06_22_21_11_19_895.jpg, C:\Users\MOHD\Desktop\Data\IMG\right_2021_06_22_21_11_19_895.jpg, 0, 0, 0, 7.78545E-05
C:\Users\MOHD\Desktop\Data\IMG\center_2021_06_22_21_11_20_000.jpg, C:\Users\MOHD\Desktop\Data\IMG\left_2021_06_22_21_11_20_000.jpg, C:\Users\MOHD\Desktop\Data\IMG\right_2021_06_22_21_11_20_000.jpg, 0, 0, 0, 7.803631E-05
C:\Users\MOHD\Desktop\Data\IMG\center_2021_06_22_21_11_20_120.jpg, C:\Users\MOHD\Desktop\Data\IMG\left_2021_06_22_21_11_20_120.jpg, C:\Users\MOHD\Desktop\Data\IMG\right_2021_06_22_21_11_20_120.jpg, 0, 0, 0, 7.975173E-05
C:\Users\MOHD\Desktop\Data\IMG\center_2021_06_22_21_11_20_247.jpg, C:\Users\MOHD\Desktop\Data\IMG\left_2021_06_22_21_11_20_247.jpg, C:\Users\MOHD\Desktop\Data\IMG\right_2021_06_22_21_11_20_247.jpg, 0, 0.2450267, 0, 0.1981103
C:\Users\MOHD\Desktop\Data\IMG\center_2021_06_22_21_11_20_356.jpg, C:\Users\MOHD\Desktop\Data\IMG\left_2021_06_22_21_11_20_356.jpg, C:\Users\MOHD\Desktop\Data\IMG\right_2021_06_22_21_11_20_356.jpg, 0, 0.5753064, 0, 0.6239669
